Model,R_squared,Adj_R_squared,AIC
P1 only,0.4857565937359608,0.4835109893417947,2116.060252818027
All loading (P0+P1+P2),0.6189471010511446,0.6139111596553447,2050.816039656962
With insert size,0.6704821068466517,0.6646499317465924,2019.249995271839
P1*Insert interaction,0.674445547816834,0.6672110044349859,2018.4546825316952
